Time	NoCaNnoAKAP	CaNonly	CaNAKAP
5	100.7175926	101.2037037	99.65277778
10	101.5046296	100.1157407	100.625
15	101.1342593	100.8796296	100
20	102.3148148	100.9722222	99.72222222
25	102.9166667	100.9027778	100.462963
30	103.2175926	102.4074074	100.9259259
35	102.5231481	102.962963	102.2685185
40	105.1157407	104.7685185	101.3888889
45	104.1666667	103.5416667	102.1759259
50	105.2546296	105.5324074	100.9953704
55	107.0138889	106.3888889	102.1064815
60	108.5416667	106.9212963	103.3564815
65	109.2592593	108.1018519	104.4444444
70	110.1851852	108.8657407	103.7731481
75	110.9953704	110.1157407	104.2361111
80	112.3842593	110.2083333	104.6527778
85	114.1666667	113.4722222	105.5555556
90	115.8333333	114.3287037	103.7731481
95	117.4074074	114.3981481	106.4351852
100	118.2175926	113.1018519	105.462963
105	121.1574074	116.5509259	105.6481481
110	120.1851852	116.4814815	106.1342593
115	121.5972222	118.2175926	108.125
120	124.0509259	119.2824074	107.7083333
125	124.8842593	119.6064815	108.0787037
130	126.0416667	121.3657407	107.9398148
135	127.4074074	122.1064815	109.4907407
140	127.5925926	123.9814815	108.5416667
145	127.8472222	124.1666667	108.8194444
150	130.4861111	124.0046296	110.1851852
155	129.8611111	126.3888889	109.1666667
160	133.4722222	128.1018519	110.3703704
165	131.712963	127.5462963	110.3703704
170	133.4953704	129.212963	111.6666667
175	136.6203704	128.1018519	111.9212963
180	134.5138889	130.8333333	111.5972222
185	136.8287037	131.1111111	112.3148148
190	139.2824074	131.3657407	112.8009259
195	139.6527778	132.8240741	112.7777778
200	141.0648148	133.8425926	113.6574074
205	140.2546296	133.7962963	114.0509259
210	142.1759259	136.1805556	114.4675926
215	141.5046296	134.375	113.287037
220	143.4027778	135.6944444	115.462963
225	142.9398148	137.1759259	115.625
230	147.3611111	139.8148148	116.5509259
235	144.2361111	137.7777778	116.2268519
240	144.4907407	140.9953704	116.1805556
245	149.1898148	141.0185185	117.0601852
250	150.0462963	141.1805556	116.8981481
255	148.2407407	140.3935185	116.4583333
260	150.162037	142.037037	118.1712963
265	147.8935185	142.3148148	117.8009259
270	150.6712963	141.9212963	117.7777778
275	151.5046296	144.3055556	118.0092593
280	151.8981481	143.6805556	119.2824074
285	153.6805556	144.4212963	116.8055556
290	153.3333333	144.7222222	118.3564815
295	151.6666667	143.3564815	118.9351852
300	152.5	146.5046296	117.8009259
305	152.337963	145.7638889	120.3240741
310	155.8333333	147.8009259	120.4861111
315	155.8101852	148.7731481	120.1851852
320	153.9351852	148.0324074	121.0648148
325	155.5324074	148.4490741	121.5972222
330	155.787037	148.125	121.5509259
335	155.6944444	150.0694444	121.7824074
340	157.1990741	151.3425926	120.625
345	157.4537037	149.8611111	123.75
350	158.6342593	150.5555556	122.7083333
355	159.1898148	151.8055556	121.6435185
360	156.2268519	149.9537037	122.4768519
365	157.6157407	150.3240741	123.0324074
370	156.6666667	149.5833333	122.7777778
375	161.25	153.3564815	123.8194444
380	159.375	151.5046296	124.375
385	158.5648148	151.5972222	121.5046296
390	160.5324074	154.6990741	125.3935185
395	161.6898148	152.7546296	125.3935185
400	160.7407407	154.3518519	123.4722222
405	162.4074074	152.0833333	124.4444444
410	161.0185185	152.7083333	124.6527778
415	162.1064815	152.8009259	126.6666667
420	164.0509259	155.8101852	126.8518519
425	161.5740741	153.1712963	127.5694444
430	163.2407407	154.6759259	126.7592593
435	162.2453704	154.4212963	126.3657407
440	162.5	154.6759259	125.4166667
445	159.4212963	156.3657407	126.2731481
450	162.1064815	158.2407407	126.7361111
455	162.662037	156.6203704	126.8055556
460	165.1388889	157.5694444	128.5185185
465	163.1712963	156.2962963	127.6157407
470	165	157.1296296	129.0972222
475	163.9583333	157.9398148	128.6805556
480	162.8009259	156.5277778	126.8518519
485	164.0740741	157.6388889	129.3518519
490	165.6944444	158.5416667	128.4953704
495	165.9259259	157.962963	128.0324074
500	163.9583333	157.2453704	129.4675926
505	166.8287037	158.7731481	128.4953704
510	165.6944444	159.0509259	131.712963
515	164.5138889	159.3981481	127.1064815
520	164.4212963	160.4166667	131.7592593
525	166.087963	159.2361111	129.2824074
530	166.9444444	162.5231481	130.2314815
535	166.0648148	158.5648148	130.2083333
540	166.712963	158.75	130.9259259
545	165.5555556	159.3981481	130.5324074
550	169.2592593	159.3518519	131.9907407
555	167.8703704	160.0694444	131.6898148
560	164.9074074	161.3657407	131.1111111
565	169.0740741	161.4814815	132.5925926
570	169.3287037	161.8518519	133.3101852
575	166.3194444	159.3981481	130.3935185
580	164.375	159.8148148	132.3148148
585	166.412037	161.1111111	132.9166667
590	167.0601852	160.7407407	131.3657407
595	169.3055556	162.7314815	133.8657407
600	169.3287037	160.8101852	132.9861111
605	169.0277778	160.787037	133.125
