Time	NoCaNnoAKAP	CaNonly	CaNAKAP
5	99.25925926	98.61111111	97.99382716
10	99.32098765	99.25925926	98.11728395
15	99.44444444	98.7345679	97.00617284
20	99.87654321	97.5	97.87037037
25	98.27160494	98.98148148	98.64197531
30	98.98148148	98.95061728	99.47530864
35	98.7962963	97.03703704	98.7037037
40	98.39506173	99.53703704	99.10493827
45	99.81481481	98.33333333	99.25925926
50	99.04320988	100.5864198	98.7345679
55	100.4012346	98.58024691	98.14814815
60	99.53703704	99.62962963	98.17901235
65	99.44444444	98.24074074	99.44444444
70	98.67283951	98.7654321	97.31481481
75	98.27160494	98.7037037	97.68518519
80	99.22839506	98.48765432	99.47530864
85	98.7962963	98.36419753	99.01234568
90	98.58024691	99.10493827	97.4691358
95	98.54938272	99.19753086	98.33333333
100	98.61111111	98.48765432	98.11728395
105	100.4938272	98.7345679	98.82716049
110	99.41358025	98.42592593	100.5555556
115	98.85802469	98.91975309	99.59876543
120	98.98148148	99.16666667	99.13580247
125	99.19753086	99.44444444	100.5555556
130	98.98148148	98.82716049	98.11728395
135	98.7037037	99.10493827	99.87654321
140	99.56790123	97.62345679	99.10493827
145	100.154321	99.50617284	98.7345679
150	99.44444444	100.0925926	97.99382716
155	99.53703704	99.84567901	98.11728395
160	97.90123457	98.82716049	99.10493827
165	99.07407407	98.30246914	99.47530864
170	99.38271605	99.16666667	98.51851852
175	100.1851852	99.53703704	98.7654321
180	100.7098765	100.4012346	99.01234568
185	99.44444444	100.2777778	98.48765432
190	101.8209877	99.47530864	99.62962963
195	100	99.66049383	99.47530864
200	99.53703704	97.90123457	98.58024691
205	100	98.91975309	99.66049383
210	97.83950617	98.98148148	98.82716049
215	100.6790123	100.308642	99.69135802
220	99.72222222	100.2777778	99.72222222
225	100.5246914	101.1111111	98.08641975
230	99.66049383	99.29012346	98.98148148
235	99.78395062	100.6790123	98.91975309
240	100.9876543	98.7962963	99.62962963
245	99.9691358	99.13580247	97.93209877
250	100.308642	99.81481481	97.4691358
255	101.1728395	99.38271605	98.48765432
260	100.3395062	100.1234568	99.53703704
265	101.0185185	101.2037037	99.35185185
270	99.19753086	98.54938272	98.17901235
275	100.5555556	99.87654321	99.38271605
280	99.59876543	100.4012346	98.36419753
285	99.53703704	99.44444444	99.69135802
290	99.84567901	100.5555556	99.66049383
295	101.7901235	101.0493827	97.93209877
300	101.1728395	100.4012346	99.29012346
305	100.9259259	100.4938272	98.42592593
310	100.308642	100.3395062	99.69135802
315	101.9444444	100.154321	98.36419753
320	101.4197531	100.4012346	97.96296296
325	101.5740741	100.0925926	98.7962963
330	101.1728395	100.4938272	98.27160494
335	100.1851852	101.0185185	98.27160494
340	101.1419753	100.4012346	97.77777778
345	101.0493827	99.59876543	99.87654321
350	101.7901235	101.0185185	99.69135802
355	101.5432099	100.5246914	99.72222222
360	101.6666667	100.7407407	99.22839506
365	101.9135802	101.6358025	99.62962963
370	103.117284	102.0987654	99.07407407
375	102.654321	100.4012346	98.82716049
380	101.7901235	100.7407407	99.07407407
385	101.2962963	99.56790123	98.05555556
390	102.7777778	101.1419753	100
395	102.8703704	100.8333333	99.19753086
400	101.7901235	101.2962963	99.13580247
405	103.4259259	102.4382716	100.8950617
410	103.8580247	102.3148148	100.1851852
415	104.7839506	101.1728395	99.84567901
420	102.5925926	100.4320988	100
425	102.2530864	101.0185185	98.64197531
430	102.7160494	102.962963	98.7654321
435	103.5802469	101.2962963	99.9382716
440	103.7654321	100.5246914	98.91975309
445	102.3765432	103.117284	99.22839506
450	104.0432099	102.808642	100.5864198
455	104.1975309	102.5925926	100.8641975
460	103.2716049	101.6975309	99.59876543
465	104.7530864	101.9135802	99.53703704
470	104.0123457	102.5	99.32098765
475	104.5987654	102.2222222	99.9382716
480	104.1358025	102.3148148	100.4938272
485	104.5061728	102.037037	98.67283951
490	104.3209877	104.1049383	99.59876543
495	105.0308642	102.4382716	100.154321
500	104.4444444	103.0864198	99.78395062
505	104.7530864	102.0061728	101.1419753
510	106.1419753	102.345679	100.7407407
515	104.3518519	103.6728395	99.72222222
520	105.462963	103.9506173	100.2469136
525	105.0925926	103.8580247	101.0493827
530	106.4814815	103.7654321	99.75308642
535	105.462963	103.7037037	101.1419753
540	106.6049383	103.1790123	100.4012346
545	106.5740741	104.5679012	99.62962963
550	106.3271605	103.2716049	100.3395062
555	107.0987654	103.7962963	99.50617284
560	105.8641975	102.6234568	100.2160494
565	106.9135802	103.3950617	98.88888889
570	105.7407407	102.6234568	99.62962963
575	105.0925926	103.4259259	100.9876543
580	104.0432099	104.0432099	99.35185185
585	105.7716049	102.4382716	99.38271605
590	107.6234568	104.382716	100.8950617
595	107.654321	105.4320988	99.38271605
600	104.7530864	104.5679012	100.7716049
605	108.3641975	103.9814815	100.2777778
