Time	C0.4	C0.2	C0.1	C0.05	C0.025	C0
5	111.7	111.275	110.15	110.05	108.625	109.025
10	113.25	113.025	110.475	109.9	111.05	111.125
15	117	111	110.775	110.85	111.075	110.125
20	120.7	113.95	111.125	110.875	110.4	109.7
25	121.475	114.675	111.625	109.45	109.3	110.025
30	125.275	117.575	111.45	111.625	109.65	108.6
35	126.925	119.15	114.05	110.4	108.625	110.925
40	129.65	119.6	113.7	111.725	111.975	110.975
45	132.825	120.45	114.525	111.85	110.3	109.65
50	136.65	121.075	114.775	112.75	110.55	110.175
55	137.675	123.325	115.8	112.925	111.475	109.6
60	139.175	124.425	116.825	112.8	112.25	110.525
65	143.875	123.4	115.775	112.05	110.8	109.65
70	143.65	125.275	116.25	112.175	111.4	110.775
75	147.725	126.875	117.775	112.7	111.1	108.625
80	147.625	128.625	117.4	112.55	110.625	110.75
85	149.35	129.925	117.525	112.95	111.725	111.15
90	152.325	131.85	118.3	114.2	111.325	109.25
95	153.5	133.6	120.075	114.075	112.1	110.375
100	155.1	131.2	120.05	113.95	112.075	110.425
105	157.85	134.95	120.525	114.05	112.95	110.55
110	158.6	134.525	122.4	115.675	112.425	109.025
115	159.025	136.175	121.675	114.525	111.9	110.75
120	162.325	137.525	120.275	114.85	112.1	109.375
125	163.85	139.725	123.05	114.5	113.375	108.425
130	164.325	140.875	121.95	115.775	114.275	110.675
135	162.6	140.25	122.025	113.85	113.375	110.7
140	165.8	141.9	121.775	117	112.3	111.025
145	167.875	141.925	124.4	117.825	115.225	109.475
150	171.25	143.85	125.775	115.75	114.225	110.05
155	169.325	146.425	127.025	116.2	113.9	111.475
160	169.225	146.375	126.775	118.4	112.775	110.15
165	170.975	146.55	125.95	117.425	115.625	108.875
170	171.65	146.85	126.225	117.975	112.05	109.825
175	173.025	147.5	126.5	119.425	113.825	109.9
180	173	149.05	128	118.275	114.45	110.95
185	172.525	148.7	127.825	119.1	113.525	108.85
190	173.525	152.2	128.25	119.3	114	109.8
195	173.9	151.875	129.725	119.325	115.3	110.375
200	176.625	154.25	129.125	119.975	114.9	110.375
205	175.775	151.625	129.75	118.925	115.9	111.85
210	179.05	154.525	133	119.325	115.475	111.375
215	176.25	156.25	132.8	119.075	114.95	108.625
