Time	NoCaNnoAKAP	CaNonly	CaNAKAP
5	101.6563786	101.1988304	100.4222222
10	102.0987654	101.4863548	100.237037
15	101.4197531	102.0126706	100.4074074
20	102.2942387	102.5146199	100.7777778
25	103.6522634	103.0653021	101.8407407
30	104.4032922	104.0497076	102.2777778
35	106.5740741	105.6773879	102.8
40	108.4156379	106.3352827	103.5333333
45	109.7119342	107.417154	104.0925926
50	110.9156379	109.3226121	105.0148148
55	113.3127572	110.1705653	105.362963
60	113.5596708	111.0282651	106.1444444
65	116.3786008	113.8060429	106.4333333
70	118.6934156	115.0292398	107.2740741
75	119.5679012	115.6968811	107.7925926
80	121.1831276	117.4122807	108.4
85	123.3127572	118.6549708	109.7333333
90	125.6687243	120.2046784	109.9222222
95	127.3868313	121.8859649	110.9185185
100	128.8683128	123.0555556	111.7925926
105	130.2366255	124.3274854	112.4
110	130.7613169	126.4668616	113.0777778
115	133.4979424	127.1734893	113.7592593
120	134.4753086	128.8255361	114.3740741
125	137.3251029	129.6637427	115.8555556
130	139.0534979	130.5945419	116.4259259
135	139.3209877	132.2612086	116.1703704
140	140.5864198	133.1968811	117.2925926
145	142.6954733	134.9658869	118.1037037
150	145.4012346	136.0575049	118.4259259
155	144.6604938	136.5253411	118.5333333
160	146.2345679	137.9532164	119.7185185
165	147.5	138.7768031	120.3703704
170	147.5925926	140.0925926	121.4111111
175	149.7530864	141.539961	121.4481481
180	150.5555556	142.1345029	122.0259259
185	149.9897119	142.9288499	122.9740741
190	152.1604938	143.0994152	123.0740741
195	152.808642	144.9805068	124.1518519
200	152.4897119	144.917154	124.0481481
205	153.4259259	145.8235867	124.762963
210	155.8436214	147.6705653	125.7296296
215	156.255144	147.1783626	125.1592593
220	155.8847737	148.5136452	126.4037037
225	156.4609053	149.8099415	127.1555556
230	158.4465021	149.7465887	127.7185185
235	158.9609053	149.8440546	127.9
240	159.8559671	150.7699805	129.2333333
245	160.1131687	151.7787524	128.9740741
250	161.0082305	152.8362573	130.1925926
255	161.3374486	152.7095517	129.7407407
260	160.4012346	153.5769981	130.6481481
265	161.6049383	154.1617934	131.1
270	162.8600823	154.5077973	131.6703704
275	162.7572016	154.7319688	132.2962963
280	162.6234568	155.9649123	132.5259259
285	162.4074074	155.5263158	132.2740741
290	163.8786008	156.8226121	133.0814815
295	164.0534979	158.045809	133.8074074
300	164.5576132	157.6510721	133.8555556
305	164.5061728	157.880117	134.6740741
310	165.3909465	158.1481481	135.1555556
315	166.244856	158.7816764	135.4888889
320	166.6358025	159.3177388	135.1407407
325	166.7695473	161.0916179	136.9814815
330	166.8312757	160.1413255	136.6333333
335	166.4609053	160.2241715	137.4259259
340	166.8930041	161.3596491	137.9185185
345	168.3641975	161.3937622	139.1185185
350	168.6934156	161.622807	138.8888889
355	168.7242798	162.6461988	139.6888889
360	168.2407407	161.9883041	139.0851852
365	169.3518519	161.5448343	140.1148148
370	169.5061728	161.9444444	140.5296296
375	169.5884774	163.0214425	141.3074074
380	170.3497942	162.8557505	141.4074074
385	170.5555556	162.9385965	142.2481481
390	168.4773663	165.1998051	141.8407407
395	168.7345679	163.1920078	141.4555556
400	170.2674897	165.0292398	142.6148148
405	171.255144	164.5077973	143.5925926
410	169.9279835	164.4980507	142.6074074
415	170.473251	164.9756335	142.8851852
420	170.627572	165.3021442	144.3666667
425	170.6893004	164.9756335	144.3925926
430	170.2983539	165.8674464	144.1259259
435	169.2386831	165.5116959	144.3592593
440	172.1502058	166.4961014	146.0296296
445	170.8641975	166.7787524	145.8555556
450	170.6995885	167.4853801	145.8037037
455	170.8744856	165.3703704	146.3
460	172.1502058	165.7309942	145.6148148
465	170.2674897	166.6374269	146.6814815
470	170.7304527	166.1744639	146.6185185
475	171.7489712	166.2231969	147.1444444
480	171.1522634	166.8859649	147.2222222
485	169.7942387	167.3976608	147.462963
490	172.4794239	166.9249513	147.7518519
495	171.9341564	166.8226121	147.9296296
500	172.1296296	166.9493177	147.0259259
505	171.5534979	168.1432749	148.9777778
510	171.2242798	167.2807018	149.2518519
515	172.2325103	168.0311891	149.0074074
520	172.9012346	168.3918129	149.6777778
525	171.6563786	168.5672515	150.1259259
530	171.399177	166.9639376	149.4555556
535	170.9773663	168.0214425	150.4851852
540	172.0987654	168.4405458	150.2703704
545	171.3168724	168.4259259	150.8481481
550	171.4403292	167.8411306	151.0666667
555	171.6769547	168.0263158	151.037037
560	171.399177	167.4610136	151.2259259
565	170.4938272	167.8021442	151.4074074
570	170.8230453	168.9035088	151.9296296
575	171.5843621	168.0701754	151.7037037
580	172.037037	168.8109162	152.1666667
585	171.6152263	169.0594542	151.6777778
590	172.962963	167.5730994	153.0888889
595	171.9032922	168.5672515	152.762963
600	171.6769547	168.6939571	152.5592593
605	171.9444444	168.8401559	153.362963

