Time	WTCaN	WTalone	NEACaN
5	109.0166667	109.3833333	108.2
10	109.55	110.4	108.6
15	108.2666667	109.2333333	108.8166667
20	110.0833333	110.4333333	110.4833333
25	110.5333333	112.4	109.95
30	111.1666667	112.6666667	110.9
35	112.2166667	115.5666667	111.75
40	112.6	117.65	112.5166667
45	113.5666667	118.5333333	112.2
50	114.1666667	120.4166667	113.4166667
55	114.2833333	122.85	112.35
60	116.2833333	123.3666667	114.3166667
65	116.7166667	126.5833333	114.566666
70	118.0833333	129.4166667	116.0333333
75	117.5333333	129.8666667	116.3
80	118.35	132.3333333	116.4666667
85	119.6333333	133.4	117.3333333
90	119.4666667	137.1333333	117.883333
95	122.2833333	138.05	117.2
100	122.1	139.6833333	119.5166667	
105	121.85	141.75	119.9666667	
110	123.8166667	141.8666667	120.1	
115	122.7333333	145.3166667	120.2833333	
120	126	146.6666667	121.1166667	
125	127.2	149.9833333	121.9333333	
130	127.9166667	152.1	121.9666667	
135	127.3333333	151.4833333	122.25	
140	128.8166667	153.3166667	123.05
145	129.9	154.9833333	124.8833333	
150	128.6166667	158.0833333	125.65	
155	129.5666667	156.6166667	125.45	
160	130.9666667	159.3833333	125.6	
165	130.5333333	159.7833333	126.2833333	
170	132.6666667	160.8833333	126.4333333	
175	133.2833333	162.5666667	127.2666667	
180	133.55	165.25	128.3
185	135.1666667	163.5	127.9333333	
190	134.9833333	165.1	129.1333333	
195	135.6833333	165.5833333	129.9666667	
200	135.5666667	166.4666667	128.6
205	135.75	167.15	130.3833333	
210	136.6666667	169.0333333	131.0833333	
215	138.8166667	170.85	130.5666667	
220	137.9333333	168.6833333	131.7666667	
225	138.9833333	169.9833333	132.7333333	
230	140.1166667	172	133.3166667	
235	142.0166667	172.4	133.95	
240	141.9666667	173.1333333	133.15	
245	141.25	172.3333333	133.9333333	
250	142.8833333	175.0833333	134.0666667	
255	142.0833333	176.25	134.55	
260	143.8833333	174.7166667	135.3333333
265	143.15	174.5333333	135.75	
270	144.0333333	176.7	136.3666667	
275	145.1833333	177.4	137.3833333	
280	147.1666667	175.7833333	137.7333333	
285	146.2833333	176.8333333	138.55	
290	146.6666667	178.8	139.4833333	
295	146.6166667	178.25	138.7333333	
300	146.6	177.15	137.2666667	
305	148.2833333	177.7	138.15	
310	148.25	178.6833333	139.5166667	
315	148.7	178.7	140.2166667	
320	148.7333333	179.2333333	139.7666667	
325	150.45	181.2666667	141.2666667	
330	149.2166667	181.3	141.75	
335	151.0833333	180.85	141.8666667	
340	151.6166667	181.1166667	141.15	
345	152.3666667	183.05	143.6333333	
350	152.8	182.2	143.8666667	
355	154.4166667	182.9166667	144.3833333	
360	151.8	183	144.75	
365	154.5	184.5333333	145.3666667	
370	153.8	183.0333333	145.2	
375	154.35	183.5	145.1833333	
380	154.5833333	184.2333333	146.0666667	
385	155.7166667	182.9666667	146.15	
390	154.6	181.9166667	146.2333333	
395	154.1333333	181.75	146.4333333	
400	156.85	183.7333333	147.2833333	
405	156.5833333	186.7166667	149.2166667	
410	154.3833333	183.4333333	149.5833333	
415	155.95	183.8333333	148.9333333	
420	158.3333333	184.5333333	151.7333333	
425	159.35	184.0666667	149.4833333	
430	157.8	183.5666667	150.1166667	
435	158.6	182.85	150.15	
440	159.9	186.1666667	150.8	
445	160.2166667	185.85	152.8166667	
450	160.2666667	184.6333333	150.8666667	
455	161.75	185.1166667	150.8333333	
460	158.7833333	186.0166667	151.85	
465	160.3333333	184.1	153.5833333	
470	160.7166667	183.75	153.5166667	
475	162.15	184.8666667	153.7833333	
480	161.2333333	184.0333333	154.6833333	
485	162.5833333	183.3333333	154.0666667	
490	162.8666667	187.15	152.0833333	
495	161	184.35	152.8166667	
500	160.0666667	185.4833333	154.5666667	
505	164.0666667	185.8333333	154.05	
510	163.0333333	185.8833333	153.3333333	
515	163.8666667	187.1	155.15	
520	165	186.4166667	157.6	
525	164.6666667	185.1833333	156.1833333	
530	164.9	186.2666667	156.15	
535	165.0666667	185.7166667	155.7666667	
540	164.85	186.05	158.1666667	
545	164.8833333	185.2166667	158.8333333	
550	165.5333333	185.5833333	156.25	
555	166.2666667	184.4166667	156.6833333	
560	166.4166667	185.1	156.9166667	
565	165.4	185	158.45	
570	166.1166667	184.8	160.6166667	
575	164.6833333	185.3333333	158.3166667	
580	167.8166667	185.3833333	157.75	
585	165.75	186.1	159.7333333	
590	167.3666667	185.8166667	159.7	
595	167.5	185.7833333	160.7333333	
600	166.5166667	184.65	160.4333333	
605	166.9333333	186.9	159.3833333	
