Time	EplusCaN	Ealone
5	109.55	110
10	109	111
15	112	112
20	113.55	116
25	116	118.5
30	119	120
35	120.75	124
40	122	127
45	126.05	130
50	128.7	133
55	129	136
60	133	138
65	134	142.05
70	138	144
75	138.85	145
80	141	148.75
85	143.2	153
90	144	154
95	144	155
100	149	157.45
105	151.1	157.9
110	151	160
115	153.65	162
120	155	164.1
125	154.65	164
130	156	166
135	156	166
140	158.5	169.4
145	161	170
150	161.6	171
155	162.8	171
160	163.65	172
165	166	172
170	163.3	173
175	166.25	173
180	170	173.15
185	167	175
190	171	176.6
195	167.8	179
200	169.4	176.75
205	169.25	180.3333333
210	169.1333333	178.6166667
215	170.8666667	178.3166667
220	170.3666667	179
225	171.35	179.0333333
230	173.9833333	181.4166667
235	173.0166667	182.65
240	173.8666667	180.9666667
245	172.8	182.15
250	173.85	178.9166667
255	176.0333333	181.45
260	175.4666667	182.95
265	173.9666667	181.0166667
270	174.7166667	184.4666667
275	176.8833333	183.7166667
280	176.8666667	183.8833333
285	176.4333333	183.6666667
290	177.3333333	183.1666667
295	176.9	183.9666667
300	177.75	182.7166667
305	177.9	183.55
310	177.1166667	183.45
315	176.35	181.6833333
320	177.65	183.45
325	176.7	185.9333333
330	179.7166667	182.7333333
335	179.2666667	185.6
340	181.1	181.7833333
345	179.0166667	183.5333333
350	181.8333333	185.4333333
355	182.2833333	185.8666667
360	180.7833333	184.4666667
365	178.7666667	184.3333333
370	180.7666667	183.3833333
375	180.4	186.2666667
380	180.8	185.3166667
385	179.7333333	187.9833333
390	180.0333333	185.9833333
395	182.3833333	183.0166667
400	181.5166667	187.0333333
405	179.9333333	183.5833333
410	181.6833333	183.6333333
415	182.1166667	183
420	181.0666667	186.6166667
425	181.2	184.9833333
430	183.2666667	184.15
435	182.9833333	184.3166667
440	182.6	186.15
445	182.4666667	187.0666667
450	181.55	186.0166667
455	182.6666667	186.3833333
460	184.0166667	186.3833333
465	182.35	183.85
470	184.35	184.4666667
475	182.3833333	184.9833333
480	183.0666667	185.1333333
485	182.7833333	185.9666667
490	183.65	186.2166667
495	182.4333333	185.8666667
500	181.0333333	185.6833333
505	180.7166667	188.0666667
510	184.7	185.9833333
515	183.4666667	186.8166667
520	184.2166667	184.7166667
525	180.4333333	182.1
530	183.9	187.2333333
535	183.05	184
540	182.1833333	186.45
545	182.5333333	183.0166667
550	183.8	190.0166667
555	184.45	185.0833333
560	182.35	184.6
565	179.8833333	185.7
570	181.7166667	186.2666667
575	181.9833333	187.1
580	181.4666667	185.0666667
585	182.9833333	185.7166667
590	182.1833333	186.7333333
595	181.4666667	183.3166667
600	183.1333333	186.45
605	182.6	185.0333333
