Time	NoCaNnoAKAP	CaNonly	CaNAKAP
5	100.2546296	100.7638889	100.0231481
10	101.7592593	99.21296296	99.69907407
15	100.7638889	100.6481481	99.93055556
20	100.9259259	100.0694444	99.60648148
25	99.83796296	98.65740741	98.1712963
30	100.4166667	99.58333333	99.65277778
35	99.58333333	100.6018519	98.49537037
40	100.8564815	100.8101852	99.72222222
45	101.0648148	100.8564815	98.65740741
50	101.0185185	100.1851852	99.35185185
55	101.0648148	100.9027778	99.62962963
60	101.9907407	102.5	100.0231481
65	103.1944444	102.0601852	99.28240741
70	103.0324074	102.6851852	100.0925926
75	103.4027778	101.7592593	99.62962963
80	103.9814815	101.9444444	99.76851852
85	104.2824074	103.0092593	100.9490741
90	104.1203704	104.6064815	101.2268519
95	104.2824074	104.4212963	100.4861111
100	104.0277778	104.7685185	99.67592593
105	105.5092593	103.4953704	99.9537037
110	105.7638889	105.0462963	100.162037
115	106.7824074	104.375	101.5509259
120	106.3888889	104.8611111	101.9444444
125	107.6388889	104.9768519	101.6435185
130	109.5833333	106.875	100.5092593
135	109.3287037	106.2962963	101.6898148
140	109.6759259	105.9953704	101.3888889
145	109.7222222	106.087963	102.7546296
150	110.9722222	106.1805556	101.3888889
155	110.9953704	106.3657407	100.0925926
160	110.787037	106.412037	102.2916667
165	111.3657407	107.8472222	100.787037
170	112.3842593	108.3796296	100.3240741
175	111.8518519	109.8842593	101.3888889
180	112.2916667	110.1851852	101.9444444
185	112.4537037	110.8796296	102.5925926
190	113.4259259	109.6990741	101.8287037
195	114.9768519	108.6342593	102.7314815
200	115.0925926	109.9537037	101.1805556
205	115.2777778	111.2962963	102.962963
210	115.1388889	112.4305556	102.2222222
215	116.7824074	112.8703704	103.1018519
220	115.3240741	112.6157407	102.2916667
225	117.8009259	111.3425926	103.7037037
230	119.7685185	113.912037	104.4212963
235	116.6203704	111.7361111	103.6805556
240	118.912037	112.662037	102.9861111
245	118.912037	113.7962963	103.9814815
250	121.25	115.0462963	103.4953704
255	119.8842593	115.3472222	103.4027778
260	120.3935185	114.1898148	102.6851852
265	121.5509259	115.0231481	104.4212963
270	121.712963	115.0925926	104.537037
275	123.3101852	115.3009259	103.6342593
280	122.8009259	115.2546296	104.3055556
285	122.5231481	115.1388889	104.5601852
290	123.5648148	115.5324074	103.912037
295	123.287037	117.4537037	101.9675926
300	122.7083333	118.6574074	103.3101852
305	123.9583333	118.0092593	104.1666667
310	125.9490741	117.8240741	105.3472222
315	127.337963	118.912037	103.6111111
320	126.2962963	119.5138889	105.5092593
325	126.5277778	116.4351852	104.3981481
330	127.4768519	118.3796296	105.0231481
335	126.9212963	120.3935185	105.2546296
340	128.1481481	120.5787037	105.5787037
345	127.4074074	120.162037	104.7685185
350	128.3564815	120.2777778	104.7453704
355	128.912037	119.6990741	105.1388889
360	128.3564815	120.8564815	104.375
365	131.0185185	121.7361111	105.1388889
370	131.0185185	121.6435185	104.6990741
375	129.7916667	120.7407407	104.7222222
380	130.0694444	120.9490741	106.5046296
385	130.9259259	123.0555556	106.5509259
390	131.3194444	122.5231481	105.4166667
395	131.4583333	123.9583333	105.2083333
400	132.7083333	123.4259259	106.412037
405	131.875	122.962963	106.7361111
410	131.1342593	124.5138889	105.462963
415	132.037037	123.3101852	105.9722222
420	131.412037	124.375	106.8981481
425	131.8055556	123.6805556	105.5324074
430	134.0046296	123.7268519	107.6157407
435	134.0972222	125.8796296	107.8703704
440	133.5648148	124.0277778	106.6435185
445	135.5324074	126.0185185	107.337963
450	136.0648148	124.1203704	106.6203704
455	135.4861111	125.3935185	106.5046296
460	135.8796296	126.9212963	106.9907407
465	134.7685185	127.5	108.4953704
470	136.3657407	127.8009259	107.9166667
475	137.2453704	126.5509259	107.2916667
480	135.8564815	126.9907407	106.8055556
485	135.3240741	127.6157407	106.5277778
490	136.6898148	126.9444444	108.7037037
495	140.5555556	128.3333333	106.712963
500	137.8009259	128.7731481	106.6898148
505	139.1666667	128.0092593	107.4768519
510	139.0046296	129.1435185	110.2314815
515	138.0092593	129.3287037	108.0324074
520	136.3657407	129.4444444	108.0555556
525	140.9027778	130.2546296	108.1481481
530	140.9259259	129.7222222	108.0787037
535	137.9861111	129.9305556	108.8657407
540	139.375	129.9537037	110.1851852
545	139.9074074	132.7777778	109.3055556
550	141.1342593	131.9212963	108.1712963
555	140.5555556	130.9722222	108.587963
560	140.8796296	132.9166667	109.6990741
565	140.6018519	130.2546296	109.7685185
570	141.5277778	132.5	108.0092593
575	140.8101852	130.6018519	110.3703704
580	142.1527778	131.2962963	109.7916667
585	141.8518519	130.9259259	110.0694444
590	143.4722222	131.7824074	109.4675926
595	142.5231481	132.8703704	110.0462963
600	142.9398148	133.1481481	108.6805556
605	141.7824074	133.3796296	109.7916667
