Time	NoCaNnoAKAP	CaNonly	CaNAKAP	
5	101.2037037	101.1111111	101.4506173
10	102.037037	103.1481481	100.4938272
15	102.345679	102.7469136	101.8518519
20	103.7654321	102.654321	102.1296296
25	105.462963	105.0617284	104.845679
30	106.2037037	106.0802469	105.1851852
35	110.6481481	109.537037	106.1111111
40	110.9876543	110.4320988	107.0987654
45	112.4382716	114.0432099	108.4567901
50	114.5061728	117.2222222	108.6728395
55	118.6111111	117.4382716	110.2160494
60	120.2777778	120.8950617	113.5185185
65	123.3641975	122.6234568	112.3765432
70	126.8209877	125.6790123	113.4876543
75	127.9012346	128.2716049	115.9876543
80	129.845679	128.8580247	117.654321
85	133.5802469	132.4382716	116.9135802
90	134.691358	132.8703704	117.0987654
95	137.1296296	135.462963	120.9876543
100	139.1049383	137.2222222	120.8950617
105	142.7160494	137.5308642	122.8395062
110	140.2469136	139.0740741	122.3148148
115	145.7098765	144.7222222	124.5679012
120	144.6296296	143.6111111	127.8395062
125	148.6728395	146.5740741	127.5308642
130	151.1419753	147.2530864	128.2098765
135	150.462963	147.808642	128.0864198
140	152.1604938	150.4320988	130.0925926
145	155	150.8333333	129.5679012
150	156.9444444	152.8395062	133.3950617
155	158.6728395	156.2345679	134.7222222
160	157.037037	156.1728395	135.1851852
165	157.345679	155.1851852	134.0432099
170	158.117284	158.9814815	136.3888889
175	162.6851852	161.3888889	137.4074074
180	162.9012346	163.117284	137.191358
185	161.0802469	161.4506173	138.0246914
190	164.4753086	162.1296296	138.0555556
195	161.1728395	161.882716	139.7839506
200	167.4691358	163.5802469	142.8395062
205	164.9382716	159.5679012	142.0679012
210	165.9567901	162.3148148	142.3765432
215	164.4753086	166.5740741	143.6728395
220	168.1790123	162.5308642	144.7839506
225	166.2654321	162.9320988	145.4012346
230	169.8148148	163.6419753	145.2777778
235	166.1419753	167.0987654	147.2222222
240	169.2592593	164.6604938	148.8580247
245	169.5987654	168.2407407	149.0432099
250	167.808642	168.4259259	147.8703704
255	167.808642	166.3580247	145.5246914
260	167.0987654	167.2530864	147.0061728
265	172.6851852	170.1234568	150.1851852
270	172.2222222	167.6851852	149.9382716
275	171.9135802	167.0987654	147.654321
280	169.5679012	169.3209877	151.882716
285	168.4567901	170.4938272	153.0864198
290	169.8765432	169.537037	152.191358
295	172.7777778	171.7592593	150.6481481
300	173.1790123	169.9691358	153.1790123
305	173.3950617	169.7530864	155
310	172.808642	168.4567901	153.1481481
315	173.5802469	169.2283951	153.7037037
320	173.117284	169.382716	157.345679
325	172.1604938	169.6296296	155.4320988
330	173.4567901	168.8580247	151.6358025
335	172.3148148	171.3580247	158.117284
340	173.2716049	171.7901235	154.2592593
345	171.8518519	172.9320988	158.9197531
350	173.0864198	171.7592593	157.0061728
355	175.0617284	170.1234568	156.6358025
360	169.2592593	171.7283951	160.7407407
365	174.7530864	170.7098765	158.2716049
370	174.0740741	172.7160494	156.2345679
375	174.5061728	173.117284	157.4074074
380	175.5555556	172.9938272	157.1604938
385	175.5246914	174.0740741	160.5864198
390	175.462963	171.5432099	159.6296296
395	173.7654321	173.0864198	156.6049383
400	176.6049383	173.8580247	161.1111111
405	173.3024691	171.7283951	160.1851852
410	173.117284	173.4567901	163.0246914
415	172.962963	173.1481481	162.191358
420	174.7839506	172.7469136	162.191358
425	174.8765432	172.5925926	161.0185185
430	174.6604938	173.8271605	161.6975309
435	172.8395062	172.7777778	160.9259259
440	175.5246914	173.3641975	162.5308642
445	172.5	168.4259259	161.0493827
450	171.8518519	174.1358025	164.2283951
455	172.1296296	169.537037	161.8518519
460	172.3765432	171.0802469	162.6851852
465	172.9938272	172.8703704	161.5123457
470	175.3703704	174.1049383	164.2283951
475	176.4814815	176.0185185	163.0555556
480	174.1358025	175.3395062	164.4444444
485	174.1049383	173.9814815	166.4506173
490	174.2592593	174.0432099	164.8765432
495	172.191358	173.0864198	165.617284
500	174.1358025	173.8580247	166.0185185
505	175	172.5617284	164.5987654
510	174.1049383	171.882716	167.4382716
515	173.1790123	172.2222222	163.2407407
520	172.808642	173.3024691	165.308642
525	176.6975309	171.882716	165.7407407
530	172.7469136	174.1358025	164.7530864
535	176.0802469	173.6111111	166.2654321
540	173.5802469	173.1481481	165.3703704
545	170.9876543	174.1666667	166.3888889
550	176.2345679	173.3950617	166.4814815
555	174.5679012	174.7839506	166.6666667
560	173.2098765	171.4814815	164.8765432
565	173.3333333	174.0123457	167.7469136
570	172.808642	171.6975309	167.037037
575	175.0617284	172.2839506	164.8765432
580	173.4259259	174.1049383	166.2962963
585	173.2098765	176.2345679	168.2098765
590	174.3209877	173.3950617	169.1666667
595	172.4074074	172.191358	166.2654321
600	174.7222222	173.8888889	168.6419753
605	173.5493827	174.0123457	167.5
