Index:    Compartment:    Name:             InitialAmount:    InitialAmountUnits:
   1         spine           Rii               6.93              micromolarity
   2         spine           cAMP              1                 micromolarity
   3         spine           RiiP              0                 micromolarity
   4         spine           Rii_C             0                 micromolarity
   5         spine           RiiP_cAMP         0                 micromolarity
   6         spine           RiiP_C            0                 micromolarity
   7         spine           RiiP_C_cAMP       0                 micromolarity
   8         spine           C                 0.63              micromolarity
   9         spine           Rii_cAMP          0                 micromolarity
   10        spine           Rii_C_cAMP        0                 micromolarity
   11        spine           Total_RII         6.93              micromolarity
   12        spine           CaN               1.5               micromolarity
   13        spine           RiiP_CaN          0                 micromolarity
   14        spine           RiiP_cAMP_CaN     0                 micromolarity
   15        spine           Total_C           0.63              micromolarity
   16        spine           cycle_Rii         0                 micromolarity
   17        spine           Cycle_RiiP        0                 micromolarity
   18        spine           Thr_phos_Rii      1                 micromolarity
   19        spine           Thr_unphos_Rii    1                 micromolarity
